id,service,name,code,description
wsfe_valid,wsfe,Validado,0,"Sin errores"
wsfe_ale_01,wsfe,"Alerta 01",1,"La CUIT informada no corresponde a un responsable inscripto en el iva activo"
wsfe_err_02,wsfe,"Error 02",2,"La CUIT informada no se encuentra autorizada a emitir comprobantes electrónicos originales o el periodo de inicio autorizado es posterior al de la generacion de la solicitud"
wsfe_err_03,wsfe,"Error 03",3,"La CUIT informada registra inconvenientes con el domicilio fiscal"
wsfe_err_04,wsfe,"Error 04",4,"El punto de venta informado no se encuentra declarado para ser utilizado en el presente regimen"
wsfe_err_05,wsfe,"Error 05",5,"La fecha del comprobante indicada no puede ser anterior en mas de cinco dias, si se trata de una venta, o anterior o posterior en mas de diez dias, si se trata de una prestacion de servicios, consecutivos de la fecha de remision del archivo art. 22 de la RG nro 2177-"
wsfe_err_06,wsfe,"Error 06",6,"La CUIT informada no se encuentra autorizada a emitir comprobantes clase 'A'"
wsfe_err_07,wsfe,"Error 07",7,"Para la clase de comprobante solicitado -comprobante clase A- debera consignar en el campo codigo de documento identificatorio del comprador el codigo 80 (CUIT)"
wsfe_err_08,wsfe,"Error 08",8,"La CUIT indicada en el campo nro de identificacion del comprador es invalida"
wsfe_err_09,wsfe,"Error 09",9,"La CUIT indicada en el campo nro de identificacion del comprador no existe en el padron unico de contribuyentes"
wsfe_err_10,wsfe,"Error 10",10,"La CUIT indicada en el campo nro de identificacion del comprador no corresponde a un responsable inscripto en el iva activo"
wsfe_err_11,wsfe,"Error 11",11,"El nro de comprobante desde informado no es correlativo al ultimo nro de comprobante registrado/hasta solicitado para ese tipo de comprobante y punto de venta"
wsfe_err_12,wsfe,"Error 12",12,"El rango informado se encuentra autorizado con anterioridad para la misma CUIT, tipo de comprobante y punto de venta"
wsfe_err_13,wsfe,"Aviso 13",13,"La CUIT indicada se encuentra comprendida en el regimen establecido por la resolucion general nro 2177 y/o en el titulo i de la resolucion general nro 1361 art. 24 de la RG nro 2177"
